Business Name,City,Phone,Cell,Contact Name,Email,Website,Region,Status,Notes
Granite Creations,Wilbraham,4135963144,,,,granitecreationsma.com,Western MA,Not Called,2376 Boston Rd Wilbraham - largest selection Western MA
Richard T Mazzeo Countertops,Pittsfield,4134457822,,Richard Mazzeo,rtmazzeo@hotmail.com,,Western MA,Not Called,38 Pleasant St Pittsfield
Lee Tile & Stone,Lee,4132439383,,,,genrose.com,Western MA,Not Called,Granite marble travertine quartz
The Westone Company,Northampton,4135859988,,,,thewestonecompany.com,Western MA,Not Called,47 Henry St Northampton - uses local Vermont stone
East Coast Marble & Granite,Peabody,9785951227,,,ecmarblegranite@gmail.com,ecmarblegranite.com,North Shore,Not Called,Serves Salem Marblehead Gloucester Swampscott
Country Granite,Bridgewater,5086974361,,,,country-granite.com,South Shore,Not Called,1055 Plymouth St Bridgewater - family-owned since 2010
Stone Age Granite,Canton,7814365354,,,,stoneagegranitellc.com,South Shore,Not Called,"286 Bailey St, Canton MA"
VN Marble & Granite,West Bridgewater,5082971894,,,,atmarble.com,South Shore,Not Called,15 Turnpike St West Bridgewater
Affordbable Kitchen & stone,West Bridgewater,5084541120,,,,,South Shore,Not Called,316 Manley St West Bridgewater
WareRite Distributors,East Bridgewater,8003239401,,,customerservice@warerite.com,warerite.com,South Shore,Not Called,40 Industrial Dr East Bridgewater - full service countertop manufacturer
Living Stone Granite,Fall River,5085673562,,,info@LSGranite.com,livingstonegranitema.com,South,Not Called,297 East Main St Fall River - most trusted in Fall River
United Granite Works,Auburn,5087522302,,Mirian,mirian@unitedgraniteworks.com,unitedgraniteworks.com,Worcester,Not Called,31 Sword St Auburn
Silva Stone,Millbury,5088655111,,Silva,Silvastonecorp@gmail.com,silvastone.com,Worcester,Not Called,93 Worcester-Providence Tpke Millbury
Rock Solid Tops,Pembroke,7813127799,,Jeff,Jeff@RScountertops.com,rscountertops.com,South Shore,Not Called,236 Water St Pembroke - serves Hingham Scituate Rockland
South Shore Granite,Braintree,7812089793,,,,southshoregranitema.com,South Shore,Not Called,145 Union St Rockland
Continental Stone Marble & Granite,Leominster,9784228700,,Manny,manny@continentalstone.com,continentalstone.com,North Central,Not Called,791 Research Dr Leominster
Countertops Express,North Attleboro,5083161774,,,countertopsexpressma@gmail.com,countertopsexpressma.com,South,Not Called,580 Kelley Blvd North Attleboro - serves Attleboro Mansfield FoxboroStonetek Imports,New Bedford,5089980936,,,info@stonetekinc.com,stonetekinc.com,South,Not Called,176 Springfield St New Bedford
Granite Guy Inc,Southborough,5084607900,,,info@graniteguyinc.com,graniteguyinc.com,Metro West,Not Called,43 Turnpike Rd Southborough
Stone Inc,Framingham,5086209300,,,,,Metro West,Not Called,248 Worcester Rd Framingham
Natural Marble & Granite,Milford,5086342235,,,contact@naturalcompanies.com,naturalcompanies.com,Metro West,Not Called,45 Pond St Milford
Brazusa Stone Inc,Medford,7813939933,,,brazusastone@hotmail.com,brazusastoneinc.com,Greater Boston,Not Called,101 Hicks Ave Medford - since 2008
Discover Marble & Granite,Millbury,8774119900,,,sales@discovermarble.com,discovermarble.com,Worcester,Not Called,1 Latti Farm Rd Millbury
Granite Design USA,North Billerica,9783621373,,,info@granitedesignsusa.com,granitedesignsusa.com,Merrimack Valley,Not Called,18 Republic Rd North Billerica
ES Countertops,West Springfield,4137328128,,Mike,,escountertops.net,Western MA,Not Called,3 Century Way West Springfield
New England Countertop,Attleboro,5087617588,,,newengct@comcast.net,necountertopsri.com,South Shore,Not Called,
Santo C. DeSpirt Marble & Granite,Agawam,4137867073,,,philipsanto@comcast.net,santocdespirt.com,Western MA,Not Called,44 N Ramah Cir Agawam - 30+ years largest established fabricator Western MA
D&C Granite and Marble,Ludlow,4135833399,,,info@dcgraniteandmarble.net,dcgraniteandmarble.net,Western MA,Not Called,664 Center St Ludlow
American Dream Granite,Leominster,9785373786,,,info@americandreamgranite.com,americandreamgranite.com,North Central,Not Called,20 Main St Leominster
Amazon Granite and Marble,Bourne,5083929669,,,info@amazongranite.com,amazongranite.com,Cape Cod,Not Called,171 Clay Pond Rd Bourne - 24+ years family-owned
Phoenix Marble & Granite,Framingham,9787630551,,,phoenixgraniteusa@gmail.com,phoenixgraniteandmarble.com,Metro West,Not Called,
Stonelab Marble & Granite,Milford,5083811291,,,,stonelabgranite.com,Metro West,Not Called,35 Depot St Milford
Rosy's Marble & Granite,North Billerica,9786632723,,,rosysmng@yahoo.com,rosysmarbleandgranite.net,Merrimack Valley,Not Called,86 Billerica Ave North Billerica
Star Marble & Granite,Rehoboth,5082524300,,,starmarblegranite@yahoo.com,rt44starmarble.com,South,Not Called,55 Winthrop St Rehoboth - serves Attleboro Taunton Fall River
Cape Cod Counter Works,Mashpee,5084778150,,,,capecodcounterworks.com,Cape Cod,Not Called,78 Industrial Dr Mashpee - full in-house fabrication
Advance Marble & Granite,Buzzards Bay,5083563686,,,advancegranite@gmail.com,advancegranitetops.com,Cape Cod,Not Called,2 Katie Marie Dr Buzzards Bay - 10+ years
ProLine Services Inc,Auburn,5084078939,,,quotes@prolineserv.com,prolineserv.com,Worcester,Not Called,404 Washington St Auburn - custom natural stone and quartz fabrication
Cumar Marble and Granite,Everett,6173897818,,,info@cumar.com,cumar.com,Greater Boston,Not Called,69 Norman St Everett - 4th generation family since 1918
Colonial Marble Co,Everett,6173891130,,Jonathan,frontdesk@colonialmarble.com,colonialmarble.com,Greater Boston,Not Called,25 Garvey St Everett - founded 1918 full-service stone company
Millennium Marble and Granite,Wrentham,5084190226,,,,millenniummarblegranite.com,South,Not Called,35 Commercial Dr Wrentham
Marble & Granite Pro,Peabody,9785482021,,,info@marbleandgranitepro.com,marbleandgranitepro.com,North Shore,Not Called,119 R Foster St Peabody
Calacatta Marble & Granite,Peabody,9787175886,,,cmipeabody@outlook.com,newenglandmarble.com,North Shore,Not Called,58 Pulaski St Peabody
Lighthouse Marble & Granite,Clinton,9786120232,,,billing@lighthousegranite.com,lighthousegranite.com,North Central,Not Called,184 Stone St Clinton
Ippolito's StoneCraft,Seekonk,5083369616,,,info@ippolitosstonecraft.com,ippolitosstonecraft.com,South,Not Called,1960 Fall River Ave Seekonk
APE Stone Marble & Granite,Seekonk,5086399028,,,,apestonemarblegranite.com,South,Not Called,Serves Attleboro Seekonk area
Quality Granite & Quartz,East Longmeadow,4133812838,,,,qualitygraniteandquartz.com,Western MA,Not Called,173 Shaker Rd East Longmeadow
SMB Marble & Granite,Hudson,9785625188,,,,smbstone.com,Metro West,Not Called,312 Main St Hudson
Bedrock Granite Co & Quartz,Norton,5082262616,,,,bedrockgranitecompany.com,South,Not Called,421 Old Colony Rd Norton - 34 reviews fabricator and showroom
Bannon & Ferrari Granite,Springfield,4135435231,,,bannonferrarigranite@gmail.com,bannonferrarigranite.com,Western MA,Not Called,874 Berkshire Ave Springfield - full in-house fabrication
Sam's Countertops,North Easton,6176371376,,,,samscountertops.com,South,Not Called,Serves Easton Norton Mansfield Brockton Stoughton
Noova Stone Inc,Attleboro,7742457377,,,jr@noovastone.com,noovastone.com,South,Not Called,30 Mann St Attleboro - marble granite quartz porcelain custom fabrication
Fitzgerald Stone & More,Peabody,9785045524,,,,peabodytile.com,North Shore,Not Called,108 Newbury St Unit C Peabody - in-house granite fabrication
JCW Countertops,Woburn,7819351907,,,info@jcwcountertops.com,jcwcountertops.com,Greater Boston,Not Called,3 Aberjona Dr Woburn - granite marble quartz cabinetry
A & S Stone Fabricators,Ipswich,9783121543,,,sales@aandsstone.com,aandsstone.com,North Shore,Not Called,78D Turnpike Rd Ipswich - serves Gloucester area
Garcia Imported Tile,Fairhaven,5089914455,,,,garciatile.com,South,Not Called,410 Main St Fairhaven - fablocator listed granite countertop fabricator
Timeless Stoneworks,Carver,5088668460,,,,timelessstoneworks.com,,,
Direct granite countertop,Marshfield,7818378780,,,info@directgranitecountertop.com,directgranitecountertop.com,,,
South coast kitchen designs,Carver,5084651476,,,info@southcoastkitchens.com,southcoastkitchens.com,,,"247 Tremont street, Carver MA"
